"","disease","year","target_deaths_averted","observed_deaths_averted","gap","region"
"199","P",2021,163445.851101148,161173.979234325,-2271.87186682274,"AFRO"
"200","P",2022,170692.120198788,163172.457862358,-7519.66233642932,"AFRO"
"201","P",2019,11997.1159933973,11993.1787215104,-3.93727188686898,"EURO"
"202","P",2020,11702.8513415098,11442.1038897516,-260.7474517582,"EURO"
"203","P",2021,11569.8318687603,11387.9765360587,-181.855332701612,"EURO"
"204","P",2022,11339.8852874146,11270.6885929481,-69.1966944664964,"EURO"
"205","P",2019,17564.0926035392,17408.714293909,-155.378309630181,"PAHO"
"206","P",2020,17308.6708897064,16382.1563141148,-926.514575591646,"PAHO"
"207","P",2021,17022.2761538744,16012.4273941423,-1009.84875973207,"PAHO"
"208","P",2022,17196.83153042,16478.6247194832,-718.206810936768,"PAHO"
"209","P",2019,28918.9103539319,29823.380386495,904.470032563189,"WPRO"
"210","P",2020,28218.3680393513,29310.2114687773,1091.84342942595,"WPRO"
"211","P",2021,26272.1237858787,24852.7013653131,-1419.42242056552,"WPRO"
"212","P",2022,25594.8584324201,26186.8518252746,591.9933928545,"WPRO"
"213","P",2019,195000.625107734,195012.523635526,11.898527792393,"SEARO"
"214","P",2020,191514.004366877,178868.16538469,-12645.8389821867,"SEARO"
"215","P",2021,188751.642870207,169837.88394461,-18913.7589255968,"SEARO"
"216","P",2022,189341.0971479,189555.152113496,214.05496559522,"SEARO"
"217","PCV",2019,24558.8345577395,25022.6510395095,463.816481770009,"EMRO"
"218","PCV",2020,24794.1976732328,24573.1284113801,-221.069261852655,"EMRO"
"219","PCV",2021,25018.9926134564,24509.9169550354,-509.075658420999,"EMRO"
"220","PCV",2022,25675.9956248391,25148.4484314678,-527.547193371283,"EMRO"
"221","PCV",2019,91111.5616429867,86540.5759259303,-4570.98571705641,"AFRO"
"222","PCV",2020,92926.529787894,85255.4317596375,-7671.09802825651,"AFRO"
"223","PCV",2021,94515.469973514,83162.7981625116,-11352.6718110024,"AFRO"
"224","PCV",2022,98283.5033437399,84795.1999916104,-13488.3033521295,"AFRO"
"225","PCV",2019,3812.64470051085,3839.4855625729,26.8408620620448,"EURO"
"226","PCV",2020,3735.73614701921,3650.08171443253,-85.6544325866785,"EURO"
"227","PCV",2021,3687.49202756858,3697.40239480882,9.91036724024252,"EURO"
"228","PCV",2022,3647.1014496152,3631.8425352294,-15.2589143858008,"EURO"
"229","PCV",2019,6291.5257666114,6506.36192686972,214.836160258318,"PAHO"
"230","PCV",2020,6197.83181587796,6065.12758436302,-132.704231514935,"PAHO"
"231","PCV",2021,6089.35707206351,5793.12487209627,-296.232199967237,"PAHO"
"232","PCV",2022,6283.13342831618,6013.02392948942,-270.109498826763,"PAHO"
"233","PCV",2019,2704.04086998233,2999.59203863155,295.551168649225,"WPRO"
"234","PCV",2020,2698.43089093599,3368.94480301436,670.513912078374,"WPRO"
"235","PCV",2021,2701.2214544344,2896.73968105132,195.51822661692,"WPRO"
"236","PCV",2022,2938.33120092717,3480.72394382099,542.39274289382,"WPRO"
"237","PCV",2019,12981.4181234268,15208.3914264846,2226.97330305783,"SEARO"
"238","PCV",2020,12932.7600822952,17451.3830136811,4518.62293138587,"SEARO"
"239","PCV",2021,12837.6456410404,18020.4585753618,5182.81293432146,"SEARO"
"240","PCV",2022,23043.3628033962,34625.0245956877,11581.6617922915,"SEARO"
"241","Rota",2019,6070.45039239762,6457.45957613845,387.00918374083,"EMRO"
"242","Rota",2020,6134.10207558624,6627.14426254778,493.042186961534,"EMRO"
"243","Rota",2021,6194.73018618516,6618.3229335053,423.592747320148,"EMRO"
"244","Rota",2022,6478.23358623952,6802.98522728322,324.7516410437,"EMRO"
"245","Rota",2019,17505.2693585635,16781.5980169604,-723.671341603131,"AFRO"
"246","Rota",2020,17844.7553432516,16671.2766627244,-1173.47868052715,"AFRO"
"247","Rota",2021,18122.0905424376,16172.4501883097,-1949.64035412787,"AFRO"
"248","Rota",2022,18825.1738426901,15357.2160050475,-3467.95783764258,"AFRO"
"249","Rota",2019,1852.17730866875,1669.2730285269,-182.904280141845,"PAHO"
"250","Rota",2020,1820.03920706006,1567.29777206387,-252.741434996194,"PAHO"
"251","Rota",2021,1786.96960663385,1483.87329894106,-303.096307692794,"PAHO"
"252","Rota",2022,1806.31383125675,1569.21890617697,-237.094925079782,"PAHO"
"253","Rota",2019,404.943246285154,332.384498330726,-72.558747954428,"EURO"
"254","Rota",2020,409.510378954148,412.39936663415,2.88898768000263,"EURO"
"255","Rota",2021,412.817053550783,345.550867721017,-67.2661858297654,"EURO"
"256","Rota",2022,415.829363146281,361.721138817725,-54.1082243285563,"EURO"
"257","Rota",2019,54.9722775692159,20.8669685369214,-34.1053090322945,"WPRO"
"258","Rota",2020,55.408278962974,21.0457674195671,-34.3625115434069,"WPRO"
"259","Rota",2021,55.3865872645469,21.3254141116742,-34.0611731528728,"WPRO"
"260","Rota",2022,400.145518605574,20.4460728276212,-379.699445777953,"WPRO"
"261","Rota",2019,5895.57620386914,7058.17885744148,1162.60265357234,"SEARO"
"262","Rota",2020,5759.1275560596,10667.4601219085,4908.3325658489,"SEARO"
"263","Rota",2021,5658.57807606338,10609.0350194999,4950.45694343652,"SEARO"
"264","Rota",2022,7218.30998722112,11754.7741035452,4536.46411632408,"SEARO"
"265","Rubella",2019,4579.87256740557,4387.15722970079,-192.715337704783,"AFRO"
"266","Rubella",2020,4639.94305573919,4278.51696071573,-361.426095023465,"AFRO"
"267","Rubella",2021,4699.08132877312,4206.64851434982,-492.432814423302,"AFRO"
"268","Rubella",2022,4856.11308929538,4344.59831338298,-511.514775912396,"AFRO"
"269","Rubella",2019,6471.70240921726,6483.26338280252,11.5609735852659,"EURO"
"270","Rubella",2020,6245.01529109336,6132.56620822654,-112.449082866819,"EURO"
"271","Rubella",2021,6136.11661462857,6029.47588330945,-106.640731319121,"EURO"
"272","Rubella",2022,6061.64552976011,5920.54012438919,-141.105405370913,"EURO"
"273","Rubella",2019,2903.46485986087,2922.62858208798,19.1637222271142,"EMRO"
"274","Rubella",2020,2841.38761802506,2838.83917320966,-2.5484448154034,"EMRO"
"275","Rubella",2021,2792.70068133935,2791.54463487026,-1.15604646908241,"EMRO"
"276","Rubella",2022,2746.76507896684,2744.76593406899,-1.99914489784851,"EMRO"
"277","Rubella",2019,11426.4528091579,11405.954920901,-20.4978882569158,"PAHO"
"278","Rubella",2020,11217.3979184334,11014.9873997836,-202.410518649811,"PAHO"
"279","Rubella",2021,10937.926498783,10754.888283091,-183.03821569199,"PAHO"
"280","Rubella",2022,10986.4895770349,10667.8874099313,-318.602167103672,"PAHO"
"281","Rubella",2019,5665.13334371586,5726.06919429049,60.9358505746313,"WPRO"
"282","Rubella",2020,5494.62728486735,5558.98091629773,64.3536314303819,"WPRO"
"283","Rubella",2021,5115.4467139999,4912.93616690028,-202.51054709962,"WPRO"
"284","Rubella",2022,4928.98636269103,4859.88563528107,-69.1007274099538,"WPRO"
"285","Rubella",2019,13419.2346655605,14631.7491923355,1212.51452677498,"SEARO"
"286","Rubella",2020,13157.7071453043,13438.9425279263,281.235382622048,"SEARO"
"287","Rubella",2021,12955.4622467231,13015.0171877657,59.5549410425592,"SEARO"
"288","Rubella",2022,13152.5681143532,14002.6095183039,850.041403950647,"SEARO"
"289","T",2019,5814.48686795464,6218.444817621,403.957949666364,"EMRO"
"290","T",2020,5816.72004616103,5991.51575752577,174.79571136474,"EMRO"
"291","T",2021,5847.45586385419,6105.80443431524,258.348570461048,"EMRO"
"292","T",2022,5995.59283766797,6300.08225803468,304.489420366702,"EMRO"
"293","T",2019,11539.836968018,11802.5164081975,262.679440179529,"AFRO"
"294","T",2020,11736.8922084469,11623.3722914766,-113.519916970261,"AFRO"
"295","T",2021,11892.3212187284,11419.9433964721,-472.377822256232,"AFRO"
"296","T",2022,12333.0135778282,11578.4361667934,-754.577411034807,"AFRO"
"297","T",2019,1203.76414500155,1203.22685188065,-0.537293120903314,"EURO"
"298","T",2020,1174.8449756429,1150.06629596806,-24.7786796748403,"EURO"
"299","T",2021,1160.79208380329,1142.71757501938,-18.0745087839118,"EURO"
"300","T",2022,1139.19858251085,1130.47098373253,-8.72759877832277,"EURO"
"301","T",2019,2025.82116539157,2008.24148402252,-17.5796813690588,"PAHO"
"302","T",2020,1993.27167080581,1887.07430143951,-106.197369366304,"PAHO"
