"","disease","year","target_deaths_averted","observed_deaths_averted","gap","region"
"148","P",2020,161364.735944045,160248.334923814,-1116.4010202316,"AFRO"
"149","P",2021,163445.851101148,158463.087484211,-4982.76361693637,"AFRO"
"150","P",2019,11997.1159933973,11997.1159933973,0,"EURO"
"151","P",2020,11702.8513415098,11442.2884111814,-260.562930328431,"EURO"
"152","P",2021,11569.8318687603,11387.6799708479,-182.151897912321,"EURO"
"153","P",2019,17564.0926035392,17564.0926035392,0,"PAHO"
"154","P",2020,17308.6708897064,16376.7062936112,-931.964596095266,"PAHO"
"155","P",2021,17022.2761538744,15927.819490646,-1094.45666322845,"PAHO"
"156","P",2019,28918.9103539319,28918.9103539319,0,"WPRO"
"157","P",2020,28218.3680393513,29375.9330571469,1157.56501779555,"WPRO"
"158","P",2021,26272.1237858787,24912.6382031029,-1359.48558277579,"WPRO"
"159","P",2019,195000.625107734,195000.625107734,0,"SEARO"
"160","P",2020,191514.004366877,178868.16538469,-12645.8389821867,"SEARO"
"161","P",2021,188751.642870207,169837.88394461,-18913.7589255968,"SEARO"
"162","PCV",2019,24558.8345577395,24558.8345577395,0,"EMRO"
"163","PCV",2020,24794.1976732328,24573.1284113801,-221.069261852655,"EMRO"
"164","PCV",2021,25018.9926134564,24509.9169550354,-509.075658420999,"EMRO"
"165","PCV",2019,91111.5616429867,91111.5616429867,0,"AFRO"
"166","PCV",2020,92926.529787894,82833.4587404494,-10093.0710474447,"AFRO"
"167","PCV",2021,94515.469973514,80715.2098878272,-13800.2600856868,"AFRO"
"168","PCV",2019,3812.64470051085,3812.64470051085,0,"EURO"
"169","PCV",2020,3735.73614701921,3646.98682730568,-88.7493197135223,"EURO"
"170","PCV",2021,3687.49202756858,3694.86153959337,7.36951202479395,"EURO"
"171","PCV",2019,6291.5257666114,6291.5257666114,0,"PAHO"
"172","PCV",2020,6197.83181587796,6063.42820357668,-134.403612301275,"PAHO"
"173","PCV",2021,6089.35707206351,5765.44471042002,-323.912361643486,"PAHO"
"174","PCV",2019,2704.04086998233,2704.04086998233,0,"WPRO"
"175","PCV",2020,2698.43089093599,3393.60785075091,695.17695981492,"WPRO"
"176","PCV",2021,2701.2214544344,2920.82667457311,219.605220138712,"WPRO"
"177","PCV",2019,12981.4181234268,12981.4181234268,0,"SEARO"
"178","PCV",2020,12932.7600822952,17451.3830136811,4518.62293138587,"SEARO"
"179","PCV",2021,12837.6456410404,18020.4585753618,5182.81293432146,"SEARO"
"180","Rota",2019,6070.45039239762,6070.45039239762,0,"EMRO"
"181","Rota",2020,6134.10207558624,6627.14426254778,493.042186961534,"EMRO"
"182","Rota",2021,6194.73018618516,6618.3229335053,423.592747320148,"EMRO"
"183","Rota",2019,17505.2693585635,17505.2693585635,0,"AFRO"
"184","Rota",2020,17844.7553432516,16523.4788338064,-1321.27650944515,"AFRO"
"185","Rota",2021,18122.0905424376,16201.3344975543,-1920.75604488332,"AFRO"
"186","Rota",2019,1852.17730866875,1852.17730866875,0,"PAHO"
"187","Rota",2020,1820.03920706006,1566.91485709549,-253.124349964572,"PAHO"
"188","Rota",2021,1786.96960663385,1479.68559591437,-307.284010719475,"PAHO"
"189","Rota",2019,404.943246285154,404.943246285154,0,"EURO"
"190","Rota",2020,409.510378954148,412.30842568557,2.79804673142235,"EURO"
"191","Rota",2021,412.817053550783,400.393277205641,-12.4237763451421,"EURO"
"192","Rota",2019,54.9722775692159,54.9722775692159,0,"WPRO"
"193","Rota",2020,55.408278962974,NA,NA,"WPRO"
"194","Rota",2021,55.3865872645469,NA,NA,"WPRO"
"195","Rota",2019,5895.57620386914,5895.57620386914,0,"SEARO"
"196","Rota",2020,5759.1275560596,10667.4601219085,4908.3325658489,"SEARO"
"197","Rota",2021,5658.57807606338,10609.0350194999,4950.45694343652,"SEARO"
"198","Rubella",2019,4579.87256740557,4579.87256740557,0,"AFRO"
"199","Rubella",2020,4639.94305573919,4278.51696071573,-361.426095023465,"AFRO"
"200","Rubella",2021,4699.08132877312,4192.84291054894,-506.238418224183,"AFRO"
"201","Rubella",2019,6471.70240921726,6471.70240921726,0,"EURO"
"202","Rubella",2020,6245.01529109336,6126.09394977577,-118.921341317595,"EURO"
"203","Rubella",2021,6136.11661462857,6045.35667565327,-90.7599389753013,"EURO"
"204","Rubella",2019,2903.46485986087,2903.46485986087,0,"EMRO"
"205","Rubella",2020,2841.38761802506,2838.83917320966,-2.5484448154034,"EMRO"
"206","Rubella",2021,2792.70068133935,2791.54463487026,-1.15604646908241,"EMRO"
"207","Rubella",2019,11426.4528091579,11426.4528091579,0,"PAHO"
"208","Rubella",2020,11217.3979184334,11014.4857932401,-202.912125193314,"PAHO"
"209","Rubella",2021,10937.926498783,10670.6571534356,-267.269345347373,"PAHO"
"210","Rubella",2019,5665.13334371586,5665.13334371586,0,"WPRO"
"211","Rubella",2020,5494.62728486735,5560.15982177931,65.5325369119591,"WPRO"
"212","Rubella",2021,5115.4467139999,4927.57457943951,-187.87213456039,"WPRO"
"213","Rubella",2019,13419.2346655605,13419.2346655605,0,"SEARO"
"214","Rubella",2020,13157.7071453043,13438.969926651,281.26278134671,"SEARO"
"215","Rubella",2021,12955.4622467231,13015.0713756288,59.6091289056385,"SEARO"
"216","T",2019,5814.48686795464,5814.48686795464,0,"EMRO"
"217","T",2020,5816.72004616103,5857.9104047126,41.1903585515711,"EMRO"
"218","T",2021,5847.45586385419,6081.15798621251,233.702122358324,"EMRO"
"219","T",2019,11539.836968018,11539.836968018,0,"AFRO"
"220","T",2020,11736.8922084469,11563.3918258442,-173.500382602675,"AFRO"
"221","T",2021,11892.3212187284,11356.398427629,-535.922791099403,"AFRO"
"222","T",2019,1203.76414500155,1203.76414500155,0,"EURO"
"223","T",2020,1174.8449756429,1150.0910529049,-24.7539227379978,"EURO"
"224","T",2021,1160.79208380329,1142.67179169867,-18.1202921046224,"EURO"
"225","T",2019,2025.82116539157,2025.82116539157,0,"PAHO"
"226","T",2020,1993.27167080581,1886.3012681737,-106.970402632111,"PAHO"
"227","T",2021,1957.75193266526,1829.64140013647,-128.110532528795,"PAHO"
"228","T",2019,3167.36905465005,3167.36905465005,0,"WPRO"
"229","T",2020,3084.60804197608,3200.97914638266,116.371104406586,"WPRO"
"230","T",2021,2857.50473593407,2720.12860292068,-137.376133013393,"WPRO"
"231","T",2019,18682.8407047584,18682.8407047584,0,"SEARO"
"232","T",2020,18352.3165558095,17165.4103925855,-1186.90616322404,"SEARO"
"233","T",2021,18089.3056679949,16334.6304054939,-1754.675262501,"SEARO"
"234","TB",2019,12647.7502551299,12647.7502551299,0,"EMRO"
"235","TB",2020,12687.7395352673,13156.2178677691,468.478332501725,"EMRO"
"236","TB",2021,12783.8444393741,13218.9749952944,435.130555920281,"EMRO"
"237","TB",2019,45838.548376573,45838.548376573,0,"AFRO"
"238","TB",2020,46594.8684164022,47245.181049993,650.312633590867,"AFRO"
"239","TB",2021,47185.3962312352,45925.9924847073,-1259.40374652791,"AFRO"
"240","TB",2019,1399.23479453493,1399.23479453493,0,"EURO"
"241","TB",2020,1365.90303884263,1374.08213544799,8.17909660535497,"EURO"
"242","TB",2021,1351.74715746462,1357.05185970984,5.30470224521287,"EURO"
"243","TB",2019,2479.59774890997,2479.59774890997,0,"PAHO"
"244","TB",2020,2451.98202564438,2177.63886281442,-274.343162829959,"PAHO"
"245","TB",2021,2422.23086289647,2356.58815841104,-65.6427044854295,"PAHO"
"246","TB",2019,50691.9318553437,50691.9318553437,0,"SEARO"
"247","TB",2020,49765.1830725284,46577.0207285521,-3188.16234397629,"SEARO"
"248","TB",2021,49038.1834752179,44438.1655025638,-4600.01797265415,"SEARO"
"249","TB",2019,4633.56410900455,4633.56410900455,0,"WPRO"
"250","TB",2020,4582.69740585186,4269.40327062,-313.294135231861,"WPRO"
"251","TB",2021,4423.28891895602,3491.58213417812,-931.706784777896,"WPRO"
"252","YF",2019,141012.025660174,141012.025660174,0,"AFRO"
"253","YF",2020,143439.762628674,120775.051001814,-22664.7116268604,"AFRO"
"254","YF",2021,145872.000092568,119230.423394387,-26641.5766981811,"AFRO"
"255","YF",2019,4801.1371922226,4801.1371922226,0,"PAHO"
"256","YF",2020,4733.17802767874,4566.82739953991,-166.350628138831,"PAHO"
"257","YF",2021,4641.24134132345,4518.8755745162,-122.36576680725,"PAHO"
