"location_iso3","year","disease","vaccine","target_deaths_averted","observed_deaths_averted","region","income_group","coverage","pop"
"AFG",2022,"TB","BCG",1721.66471615799,1761.70343048725,"EMRO","Low income",0.88,1385020
"AGO",2019,"HPV","HPV",0,0,"AFRO","Lower middle income",0,449048
"AGO",2019,"HepB","HepB",8619.21558165127,8619.21558165127,"AFRO","Lower middle income",0.57,1207116
"AGO",2019,"Hib","Hib3",5343.18053015996,5343.18053015996,"AFRO","Lower middle income",0.57,1207116
"AGO",2019,"Measles","MCV1",20436.7334563024,20436.7334563024,"AFRO","Lower middle income",0.51,1207116
"AGO",2019,"Measles","MCV2",2045.86486312844,2045.86486312844,"AFRO","Lower middle income",0.33,1123557
"AGO",2019,"PCV","PCV3",4402.00511072606,4402.00511072606,"AFRO","Lower middle income",0.53,1207116
"AGO",2019,"Rota","Rota",1527.5344609992,1527.5344609992,"AFRO","Lower middle income",0.58,1207116
"AGO",2019,"YF","YF",669.085821437303,669.085821437303,"AFRO","Lower middle income",0.45,1207116
"AGO",2019,"D","DTP3",152.13694815053,152.13694815053,"AFRO","Lower middle income",0.57,1207116
"AGO",2019,"P","DTP3",5859.90531830907,5859.90531830907,"AFRO","Lower middle income",0.57,1207116
"AGO",2019,"T","DTP3",426.816579915846,426.816579915846,"AFRO","Lower middle income",0.57,1207116
"AGO",2019,"TB","BCG",2262.71209131935,2262.71209131935,"AFRO","Lower middle income",0.69,1207116
"AGO",2019,"Rubella","Rubella",457.39034070244,457.39034070244,"AFRO","Lower middle income",0.51,1207116
"AGO",2020,"HepB","HepB",8813.25425186306,7885.54327798274,"AFRO","Lower middle income",0.51,1234291
"AGO",2020,"Hib","Hib3",5463.46800121253,4888.36610634805,"AFRO","Lower middle income",0.51,1234291
"AGO",2020,"Measles","MCV1",20896.8120499711,18028.6221607594,"AFRO","Lower middle income",0.44,1234291
"AGO",2020,"Measles","MCV2",2096.42347634488,1842.31153981823,"AFRO","Lower middle income",0.29,1151323
"AGO",2020,"PCV","PCV3",4501.10452526781,4501.10452526781,"AFRO","Lower middle income",0.53,1234291
"AGO",2020,"Rota","Rota",1561.9228287929,1157.97726962232,"AFRO","Lower middle income",0.43,1234291
"AGO",2020,"YF","YF",684.148505717488,456.099003811658,"AFRO","Lower middle income",0.3,1234291
"AGO",2020,"D","DTP3",155.561906121422,139.186968634956,"AFRO","Lower middle income",0.51,1234291
"AGO",2020,"P","DTP3",5991.8254709912,5361.10700036055,"AFRO","Lower middle income",0.51,1234291
"AGO",2020,"T","DTP3",436.425217825718,390.485721212484,"AFRO","Lower middle income",0.51,1234291
"AGO",2020,"TB","BCG",2313.65102434783,1944.80810742281,"AFRO","Lower middle income",0.58,1234291
"AGO",2020,"Rubella","Rubella",467.687265363027,403.494895607317,"AFRO","Lower middle income",0.44,1234291
"AGO",2021,"HPV","HPV",4136.57051570107,0,"AFRO","Lower middle income",0,479680
"AGO",2021,"HepB","HepB",9013.57641903111,7115.98138344561,"AFRO","Lower middle income",0.45,1262346
"AGO",2021,"Hib","Hib3",5587.65070591832,4411.30318888288,"AFRO","Lower middle income",0.45,1262346
"AGO",2021,"Measles","MCV1",21371.7892328736,15085.9688702637,"AFRO","Lower middle income",0.36,1262346
"AGO",2021,"Measles","MCV2",2144.76061336294,1429.84040890863,"AFRO","Lower middle income",0.22,1177869
"AGO",2021,"PCV","PCV3",4603.4130468858,2953.13289800221,"AFRO","Lower middle income",0.34,1262346
"AGO",2021,"Rota","Rota",1597.42478494569,936.421425657817,"AFRO","Lower middle income",0.34,1262346
"AGO",2021,"YF","YF",699.698960454583,482.014839424268,"AFRO","Lower middle income",0.31,1262346
"AGO",2021,"D","DTP3",159.097773494866,125.603505390684,"AFRO","Lower middle income",0.45,1262346
"AGO",2021,"P","DTP3",6128.01755502054,4837.90859606885,"AFRO","Lower middle income",0.45,1262346
"AGO",2021,"T","DTP3",446.345009419516,352.377639015407,"AFRO","Lower middle income",0.45,1262346
"AGO",2021,"TB","BCG",2366.23949780188,1920.42625908558,"AFRO","Lower middle income",0.56,1262346
"AGO",2021,"Rubella","Rubella",478.317632294131,337.635975737034,"AFRO","Lower middle income",0.36,1262346
