"location_iso3","year","disease","v_at_id","target"
"AGO",2029,"P",20,9879.66410833184
"AGO",2029,"PCV",13,7962.19772372197
"AGO",2029,"Rota",15,2532.61885117737
"AGO",2029,"Rubella",17,858.756629249625
"AGO",2029,"T",20,719.602829120851
"AGO",2029,"TB",21,3179.2516767331
"AGO",2029,"YF",19,1419.08167483121
"AGO",2030,"D",20,266.423427033675
"AGO",2030,"HPV",2,13000.2128522705
"AGO",2030,"HepB",3,15094.0385062376
"AGO",2030,"HepB",4,2571.03385855993
"AGO",2030,"Hib",5,9357.02000999987
"AGO",2030,"Measles",8,39999.4362621219
"AGO",2030,"Measles",9,6305.10244737091
"AGO",2030,"P",20,10261.9125463989
"AGO",2030,"PCV",13,8290.62437216438
"AGO",2030,"Rota",15,2628.90921686173
"AGO",2030,"Rubella",17,895.219180646283
"AGO",2030,"T",20,747.444570949715
"AGO",2030,"TB",21,3273.35247579583
"AGO",2030,"YF",19,1484.16395192452
"ALB",2019,"D",20,0.454986796536896
"ALB",2019,"HepB",3,201.323731597561
"ALB",2019,"HepB",4,40.8132524948668
"ALB",2019,"Hib",5,18.1912330753229
"ALB",2019,"Measles",8,151.976766439789
"ALB",2019,"Measles",9,21.7583467032435
"ALB",2019,"P",20,22.4413646260328
"ALB",2019,"PCV",13,17.9628904164178
"ALB",2019,"Rota",15,0
"ALB",2019,"Rubella",17,4.739184384697
"ALB",2019,"T",20,2.66896449063941
"ALB",2019,"TB",21,1.66790487934516
"ALB",2020,"D",20,0.446666160465774
"ALB",2020,"HPV",2,0
"ALB",2020,"HepB",3,197.64199508157
"ALB",2020,"HepB",4,40.066874306591
"ALB",2020,"Hib",5,17.8585583004574
"ALB",2020,"Measles",8,149.197469602086
"ALB",2020,"Measles",9,20.9277941717504
"ALB",2020,"P",20,22.0309649629793
"ALB",2020,"PCV",13,17.634391490563
"ALB",2020,"Rota",15,0
"ALB",2020,"Rubella",17,4.65251587290908
"ALB",2020,"T",20,2.62015542105236
"ALB",2020,"TB",21,1.63740283047713
"ALB",2021,"D",20,0.443829936117614
